emoji_id,zero_shot,emoji_char,emoji_name,emoji_char_ascii,emoji_char_ascii_beg,emjpd_emoji_name_og,emjpd_aliases,emjpd_shortcodes,emjpd_full_description,emjpd_description_main,emjpd_description_side,hemj_emoji_description,emjpd_usage_info,emjpd_description_ref_emj
0,False,🥈,2nd_place_medal,\U0001f948,\U0001f948,2nd place medal,['silver medal'],"[':2nd_place_medal:\n(Github, Emojipedia)\n', ':second_place_medal:\n(Slack)\n']","
2nd place medal was approved as part of unicode 9.0 in 2016
under the name “second place medal”
and added to emoji 3.0 in 2016.
",,"2nd place medal was approved as part of unicode 9.0 in 2016
under the name “second place medal”
and added to emoji 3.0 in 2016.","the image of a medal that has the number 2 written on it is the emoji that represents winning the second place in a competition. it can also refer that a person is second best to someone else. 2nd place medal emoji can mean ""he is my second best writer in the firm!"" or ""he won second place in an international writing contest!"".",,[]
1,False,🥉,3rd_place_medal,\U0001f949,\U0001f949,3rd place medal,['bronze medal'],"[':3rd_place_medal:\n(Github, Emojipedia)\n', ':third_place_medal:\n(Slack)\n']","
3rd place medal was approved as part of unicode 9.0 in 2016
under the name “third place medal”
and added to emoji 3.0 in 2016.
",,"3rd place medal was approved as part of unicode 9.0 in 2016
under the name “third place medal”
and added to emoji 3.0 in 2016.","the image of a medal that has the number 3 written on it is the emoji that represents winning the third place in a competition. it can also refer that a person is third best to someone else. 3rd place medal emoji can mean ""he is my third best writer in the firm!"" or ""he won third place in an international writing contest!"".",,[]
2,False,🅰️,a_button_(blood_type),\U0001f170\ufe0f,\U0001f170,a button (blood type),['blood type a'],"[':a:\n(Github, Slack)\n', ':a_button_blood_type_:\n(Emojipedia)\n']","a symbol representing blood type a. displayed as the letter a on a red background.

a button (blood type) was approved as part of unicode 6.0 in 2010
under the name “negative squared latin capital letter a”
and added to emoji 1.0 in 2015.
",a symbol representing blood type a. displayed as the letter a on a red background.,"a button (blood type) was approved as part of unicode 6.0 in 2010
under the name “negative squared latin capital letter a”
and added to emoji 1.0 in 2015.",the a button (blood type) emoji was added to the symbols category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,[]
3,False,🆎,ab_button_(blood_type),\U0001f18e,\U0001f18e,ab button (blood type),['blood type ab'],"[':ab:\n(Github, Slack)\n', ':ab_button_blood_type_:\n(Emojipedia)\n']","a symbol representing blood type ab. displayed as the letters ab on a red background.

ab button (blood type) was approved as part of unicode 6.0 in 2010
under the name “negative squared ab”
and added to emoji 1.0 in 2015.
",a symbol representing blood type ab. displayed as the letters ab on a red background.,"ab button (blood type) was approved as part of unicode 6.0 in 2010
under the name “negative squared ab”
and added to emoji 1.0 in 2015.",the ab button (blood type) emoji was added to the symbols category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,[]
4,False,🧮,abacus,\U0001f9ee,\U0001f9ee,abacus,[],"[':abacus:\n(Github, Slack, Emojipedia)\n']","an abacus, an ancient tool used to count and calculate by moving beads. depicted as a wooden frame with four or more rows or columns of variously positioned and colored beads.
used for various content concerning mathematics and science (education) as well as calculations, counting, and numbers more generally.
designs from apple and facebook resemble a chinese abacus (suanpan), as did a previous microsoft design. by one reckoning, apple’s red-beaded design displays the number 108 and emojipedia's, 12,031,981.

abacus was approved as part of unicode 11.0 in 2018
and added to emoji 11.0 in 2018.
","an abacus, an ancient tool used to count and calculate by moving beads. depicted as a wooden frame with four or more rows or columns of variously positioned and colored beads.
used for various content concerning mathematics and science (education) as well as calculations, counting, and numbers more generally.
designs from apple and facebook resemble a chinese abacus (suanpan), as did a previous microsoft design. by one reckoning, apple’s red-beaded design displays the number 108 and emojipedia's, 12,031,981.","abacus was approved as part of unicode 11.0 in 2018
and added to emoji 11.0 in 2018.","the abacus emoji was added to the objects category in 2018 as part of unicode 11.0 standard. this is a very new emoji, so most likely it will not be displayed on most devices.",,[]
5,False,🪗,accordion,\U0001fa97,\U0001fa97,accordion,[],[':accordion:\n(Emojipedia)\n'],"a red accordion with a keyboard on one side, buttons on the other side, and bellows in the middle. used to talk about accordion music or music in general. also may be used in reference to things that expand and contract, or are folded like the bellows of an accordion.

accordion was approved as part of unicode 13.0 in 2020
and added to emoji 13.0 in 2020.

🚩 new in 2020: requires ios 14.2, android 11, samsung one ui 2.5 or above.","a red accordion with a keyboard on one side, buttons on the other side, and bellows in the middle. used to talk about accordion music or music in general. also may be used in reference to things that expand and contract, or are folded like the bellows of an accordion.","accordion was approved as part of unicode 13.0 in 2020
and added to emoji 13.0 in 2020.
🚩 new in 2020: requires ios 14.2, android 11, samsung one ui 2.5 or above.",,"a red accordion with a keyboard on one side, buttons on the other side, and bellows in the middle. used to talk about accordion music or music in general. also may be used in reference to things that expand and contract, or are folded like the bellows of an accordion.",['🚩']
6,False,🩹,adhesive_bandage,\U0001fa79,\U0001fa79,adhesive bandage,"['band aid', 'plaster']","[':adhesive_bandage:\n(Github, Slack, Emojipedia)\n']","an adhesive bandage used for first aid. sometimes called a band-aid or band aid after the trademarked product. sometimes called a plaster.
 

adhesive bandage was approved as part of unicode 12.0 in 2019
and added to emoji 12.0 in 2019.
","an adhesive bandage used for first aid. sometimes called a band-aid or band aid after the trademarked product. sometimes called a plaster.
 ","adhesive bandage was approved as part of unicode 12.0 in 2019
and added to emoji 12.0 in 2019.",,an adhesive bandage used for first aid. sometimes called a band-aid or band aid after the trademarked product. sometimes called a plaster.,[]
7,False,🎟️,admission_tickets,\U0001f39f\ufe0f,\U0001f39f,admission tickets,[],"[':admission_tickets:\n(Slack, Emojipedia)\n', ':tickets:\n(Github)\n']","a ticket or tickets to an event that may say ""admit one"" on the front. shown in pink or yellow on most platforms.

admission tickets was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.
","a ticket or tickets to an event that may say ""admit one"" on the front. shown in pink or yellow on most platforms.","admission tickets was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.",the admission tickets emoji was added to the activities category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,,[]
8,False,🚡,aerial_tramway,\U0001f6a1,\U0001f6a1,aerial tramway,"['cable car', 'gondola', 'ropeway']","[':aerial_tramway:\n(Github, Slack, Emojipedia)\n']","an aerial tramway, most commonly seen at ski resorts, for transport between locations on a mountain. can also be used as a tourist attraction, or as a form of public transport.

aerial tramway was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","an aerial tramway, most commonly seen at ski resorts, for transport between locations on a mountain. can also be used as a tourist attraction, or as a form of public transport.","aerial tramway was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the aerial tramway emoji was added to the travel & places category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,"an aerial tramway, most commonly seen at ski resorts, for transport between locations on a mountain. can also be used as a tourist attraction, or as a form of public transport.",[]
9,False,✈️,airplane,\u2708\ufe0f,\u2708,airplane,"['aeroplane', 'plane']","[':airplane:\n(Github, Slack, Emojipedia)\n']","used either as a literal airplane, to represent an overseas vacation, or sometimes as a proxy for airplane mode on a phone or tablet.
use of this emoji declined in april 2020, potentially as a result of global air travel limitations.

airplane was approved as part of unicode 1.1 in 1993
and added to emoji 1.0 in 2015.
","used either as a literal airplane, to represent an overseas vacation, or sometimes as a proxy for airplane mode on a phone or tablet.
use of this emoji declined in april 2020, potentially as a result of global air travel limitations.","airplane was approved as part of unicode 1.1 in 1993
and added to emoji 1.0 in 2015.","this icon shows an airplane flying to the right. this icon could mean airplanes, airports, travel, flying, trips, vacation, business, or just general aviation. it could be used to ask someone for a ride to the airport, or to be picked up from the airport, or to just tell someone you are traveling somewhere by plane. it has neither a positive or negative connotation.
the airplane emoji appeared in 1993, and also known as the plane emoji. sometimes it is mentioned as the jet emoji.",,[]
